User,Turn,Strategy,High Entropy Ratio,High Entropy Count,Total Token Count,Mean Entropy (Reasoning),Threshold Value,Threshold Formula
persona_58,3,Logical Appeal,0.0743801652892562,9,121,0.3109,1.121,"max(Mean + 2*Std, 0.8)"
persona_58,5,Donation Information,0.08181818181818182,9,110,0.2098,0.8789,"max(Mean + 2*Std, 0.8)"
persona_58,7,Personal Story,0.06422018348623854,7,109,0.2606,0.9989,"max(Mean + 2*Std, 0.8)"
persona_58,9,Credibility Appeal,0.05309734513274336,6,113,0.364,1.2217,"max(Mean + 2*Std, 0.8)"
persona_58,11,Foot in the Door,0.058823529411764705,9,153,0.2173,0.8605,"max(Mean + 2*Std, 0.8)"
persona_58,13,Personal Story,0.0603448275862069,7,116,0.3984,1.2823,"max(Mean + 2*Std, 0.8)"
persona_58,15,Credibility Appeal,0.05113636363636364,9,176,0.3636,1.2114,"max(Mean + 2*Std, 0.8)"
persona_58,17,Personal Story,0.033112582781456956,5,151,0.4144,1.2853,"max(Mean + 2*Std, 0.8)"
persona_58,19,Foot in the Door,0.03910614525139665,7,179,0.3626,1.2352,"max(Mean + 2*Std, 0.8)"
persona_13,3,Logical Appeal,0.0707070707070707,7,99,0.2387,0.9715,"max(Mean + 2*Std, 0.8)"
persona_13,5,Credibility Appeal,0.047058823529411764,4,85,0.183,0.8,"max(Mean + 2*Std, 0.8)"
persona_13,7,Personal Story,0.0660377358490566,7,106,0.2416,0.9352,"max(Mean + 2*Std, 0.8)"
persona_13,9,Donation Information,0.056818181818181816,10,176,0.2791,1.0344,"max(Mean + 2*Std, 0.8)"
persona_13,11,Source Related Inquiry,0.05263157894736842,6,114,0.2625,1.0619,"max(Mean + 2*Std, 0.8)"
persona_13,13,Donation Information,0.0743801652892562,9,121,0.1984,0.8,"max(Mean + 2*Std, 0.8)"
persona_13,15,Source Related Inquiry,0.0759493670886076,12,158,0.2844,1.0681,"max(Mean + 2*Std, 0.8)"
persona_13,17,Foot in the Door,0.0425531914893617,8,188,0.3255,1.1525,"max(Mean + 2*Std, 0.8)"
persona_13,19,Source Related Inquiry,0.06097560975609756,10,164,0.274,1.0086,"max(Mean + 2*Std, 0.8)"
persona_141,3,Credibility Appeal,0.04504504504504504,5,111,0.2522,0.9719,"max(Mean + 2*Std, 0.8)"
persona_141,5,Donation Information,0.038834951456310676,4,103,0.1462,0.8,"max(Mean + 2*Std, 0.8)"
persona_141,7,Personal Story,0.050505050505050504,5,99,0.217,0.8587,"max(Mean + 2*Std, 0.8)"
persona_141,9,Credibility Appeal,0.075,9,120,0.3397,1.1686,"max(Mean + 2*Std, 0.8)"
persona_141,11,Foot in the Door,0.040268456375838924,6,149,0.2817,1.0516,"max(Mean + 2*Std, 0.8)"
persona_141,13,Personal Story,0.05303030303030303,7,132,0.3926,1.2829,"max(Mean + 2*Std, 0.8)"
persona_141,15,Source Related Inquiry,0.0782608695652174,9,115,0.267,1.0841,"max(Mean + 2*Std, 0.8)"
persona_141,17,Foot in the Door,0.059880239520958084,10,167,0.291,1.089,"max(Mean + 2*Std, 0.8)"
persona_141,19,Source Related Inquiry,0.05309734513274336,6,113,0.3013,1.076,"max(Mean + 2*Std, 0.8)"
