User,Turn,Strategy,High Entropy Ratio,High Entropy Count,Total Token Count,Mean Entropy (Reasoning),Threshold Value,Threshold Formula
persona_58,3,Logical Appeal,0.17355371900826447,21,121,0.3109,0.716,"max(Mean + 1*Std, 0.7)"
persona_58,5,Donation Information,0.09090909090909091,10,110,0.2098,0.7,"max(Mean + 1*Std, 0.7)"
persona_58,7,Personal Story,0.12844036697247707,14,109,0.2606,0.7,"max(Mean + 1*Std, 0.7)"
persona_58,9,Credibility Appeal,0.18584070796460178,21,113,0.364,0.7928,"max(Mean + 1*Std, 0.7)"
persona_58,11,Foot in the Door,0.0915032679738562,14,153,0.2173,0.7,"max(Mean + 1*Std, 0.7)"
persona_58,13,Personal Story,0.19827586206896552,23,116,0.3984,0.8404,"max(Mean + 1*Std, 0.7)"
persona_58,15,Credibility Appeal,0.17613636363636365,31,176,0.3636,0.7875,"max(Mean + 1*Std, 0.7)"
persona_58,17,Personal Story,0.2185430463576159,33,151,0.4144,0.8498,"max(Mean + 1*Std, 0.7)"
persona_58,19,Foot in the Door,0.19553072625698323,35,179,0.3626,0.7989,"max(Mean + 1*Std, 0.7)"
persona_13,3,Logical Appeal,0.1414141414141414,14,99,0.2387,0.7,"max(Mean + 1*Std, 0.7)"
persona_13,5,Credibility Appeal,0.07058823529411765,6,85,0.183,0.7,"max(Mean + 1*Std, 0.7)"
persona_13,7,Personal Story,0.12264150943396226,13,106,0.2416,0.7,"max(Mean + 1*Std, 0.7)"
persona_13,9,Donation Information,0.13636363636363635,24,176,0.2791,0.7,"max(Mean + 1*Std, 0.7)"
persona_13,11,Source Related Inquiry,0.17543859649122806,20,114,0.2625,0.7,"max(Mean + 1*Std, 0.7)"
persona_13,13,Donation Information,0.0743801652892562,9,121,0.1984,0.7,"max(Mean + 1*Std, 0.7)"
persona_13,15,Source Related Inquiry,0.14556962025316456,23,158,0.2844,0.7,"max(Mean + 1*Std, 0.7)"
persona_13,17,Foot in the Door,0.19680851063829788,37,188,0.3255,0.739,"max(Mean + 1*Std, 0.7)"
persona_13,19,Source Related Inquiry,0.12195121951219512,20,164,0.274,0.7,"max(Mean + 1*Std, 0.7)"
persona_141,3,Credibility Appeal,0.11711711711711711,13,111,0.2522,0.7,"max(Mean + 1*Std, 0.7)"
persona_141,5,Donation Information,0.04854368932038835,5,103,0.1462,0.7,"max(Mean + 1*Std, 0.7)"
persona_141,7,Personal Story,0.09090909090909091,9,99,0.217,0.7,"max(Mean + 1*Std, 0.7)"
persona_141,9,Credibility Appeal,0.16666666666666666,20,120,0.3397,0.7542,"max(Mean + 1*Std, 0.7)"
persona_141,11,Foot in the Door,0.18120805369127516,27,149,0.2817,0.7,"max(Mean + 1*Std, 0.7)"
persona_141,13,Personal Story,0.19696969696969696,26,132,0.3926,0.8378,"max(Mean + 1*Std, 0.7)"
persona_141,15,Source Related Inquiry,0.1565217391304348,18,115,0.267,0.7,"max(Mean + 1*Std, 0.7)"
persona_141,17,Foot in the Door,0.16766467065868262,28,167,0.291,0.7,"max(Mean + 1*Std, 0.7)"
persona_141,19,Source Related Inquiry,0.1592920353982301,18,113,0.3013,0.7,"max(Mean + 1*Std, 0.7)"
