Triplet,Prob_Success,Prob_Fail,Golden_Diff
Personal Story -> Hesitance -> Foot in the Door,0.054945054945054944,0.028198074277854195,0.02674698066720075
Foot in the Door -> Hesitance -> Personal Story,0.03406593406593406,0.014442916093535076,0.019623017972398987
Logical Appeal -> Hesitance -> Foot in the Door,0.02967032967032967,0.01031636863823934,0.01935396103209033
Credibility Appeal -> Hesitance -> Foot in the Door,0.054945054945054944,0.03576341127922971,0.019181643665825233
Self Modeling -> Hesitance -> Foot in the Door,0.04285714285714286,0.026134800550206328,0.01672234230693653
Credibility Appeal -> Hesitance -> Personal Story,0.01868131868131868,0.007565337001375516,0.011115981679943165
Emotion Appeal -> Information Inquiry -> Credibility Appeal,0.013186813186813187,0.0034387895460797797,0.009748023640733407
Credibility Appeal -> Hesitance -> Self Modeling,0.014285714285714285,0.004814305364511692,0.009471408921202594
Donation Information -> Information Inquiry -> Credibility Appeal,0.01978021978021978,0.01031636863823934,0.00946385114198044
Credibility Appeal -> Information Inquiry -> Donation Information,0.014285714285714285,0.0068775790921595595,0.007408135193554726
Personal Story -> Information Inquiry -> Credibility Appeal,0.012087912087912088,0.004814305364511692,0.007273606723400396
Credibility Appeal -> Information Inquiry -> Credibility Appeal,0.023076923076923078,0.0171939477303989,0.0058829753465241795
Personal Story -> Self Pity -> Foot in the Door,0.007692307692307693,0.0020632737276478678,0.0056290339646598245
Personal Story -> Information Inquiry -> Donation Information,0.007692307692307693,0.0020632737276478678,0.0056290339646598245
Donation Information -> Hesitance -> Foot in the Door,0.016483516483516484,0.011004126547455296,0.005479389936061188
